venue_name,city,name_display_long,year
Chase Field,Phoenix,Arizona Diamondbacks,2017
SunTrust Park,Atlanta,Atlanta Braves,2017
Oriole Park at Camden Yards,Baltimore,Baltimore Orioles,2017
Fenway Park,Boston,Boston Red Sox,2017
Wrigley Field,Chicago,Chicago Cubs,2017
Guaranteed Rate Field,Chicago,Chicago White Sox,2017
Great American Ball Park,Cincinnati,Cincinnati Reds,2017
Progressive Field,Cleveland,Cleveland Indians,2017
Coors Field,Denver,Colorado Rockies,2017
Comerica Park,Detroit,Detroit Tigers,2017
Minute Maid Park,Houston,Houston Astros,2017
Kauffman Stadium,Kansas City,Kansas City Royals,2017
Angel Stadium of Anaheim,Anaheim,Los Angeles Angels of Anaheim,2017
Dodger Stadium,Los Angeles,Los Angeles Dodgers,2017
Marlins Park,Miami,Miami Marlins,2017
Miller Park,Milwaukee,Milwaukee Brewers,2017
Target Field,Minneapolis,Minnesota Twins,2017
Citi Field,New York,New York Mets,2017
Yankee Stadium,Bronx,New York Yankees,2017
Oakland Coliseum,Oakland,Oakland Athletics,2017
Citizens Bank Park,Philadelphia,Philadelphia Phillies,2017
PNC Park,Pittsburgh,Pittsburgh Pirates,2017
Petco Park,San Diego,San Diego Padres,2017
AT&T Park,San Francisco,San Francisco Giants,2017
Safeco Field,Seattle,Seattle Mariners,2017
Busch Stadium,St. Louis,St. Louis Cardinals,2017
Tropicana Field,Tampa Bay,Tampa Bay Rays,2017
Globe Life Park in Arlington,Arlington,Texas Rangers,2017
Rogers Centre,Toronto,Toronto Blue Jays,2017
Nationals Park,Washington,Washington Nationals,2017
